,Brands,Models,Transmission,Colour,Mileage,Year,Prices
416,Toyota,Corolla,1,Pearl Red,499,0,27200
97,Ford,Focus,0,Blue,51562,3,16950
34,Citroen,C3,0,Black,1600,0,17500
10,Audi,A5,1,Blue,144837,8,13500
602,Mercedes-Benz,E-Class,1,Iridium Silver,22400,1,46950
119,Ford,Kuga,0,Black,16285,1,33500
86,Ford,Focus,0,Red,40500,1,20950
101,Ford,Focus,0,White,67808,3,16950
300,Volkswagen,Polo,0,Reflex Silver Metallic,4000,0,17900
116,Ford,Galaxy,0,Grey,61636,2,31500
563,Opel,Vectra,0,Beige,194725,13,999
573,Mitsubishi,Eclipse Cross,0,Grey,40072,1,23500
108,Ford,Focus,0,Black,51704,3,15950
256,Volvo,XC60,0,Grey,53372,3,26950
558,Opel,Meriva,1,Grey,39000,3,13950
268,Volkswagen,Tiguan,0,Silver Metallic,7,-1,45500
286,Volkswagen,Touareg,1,Deep Black Pearl Effect,10,-1,78300
600,Mercedes-Benz,E-Class,1,Obsidean Black,11200,1,40950
57,Ford,C-Max,0,Black,82670,2,16950
#149,Ford,S-Max,0,Black,$,11,4495
503,Saab,09-May,1,Silver,222140,10,6500
176,Hyundai,i30,0,Black,67000,4,13950
457,Skoda,Octavia,0,Grey,30000,1,18000
165,Honda,Civic,0,Brilliant Sport Blue,72000,2,19950
245,Mercedes-Benz,B-Class,1,Iridium Silver,18900,1,31950
385,Toyota,Prius,1,Attitude Black,44008,3,17950
449,Skoda,Octavia,0,Grey,400,0,29950
#200,Kia,Niro,1,Horizon Blue,$,-1,32340
71,Ford,Fiesta,0,Red,241395,10,4500
37,Citroen,C5,1,Grey,1899,0,32950
3,Audi,A4,1,Silver,77818,3,22950
114,Ford,Focus,0,Black,257488,14,1999
541,Nissan,Qashqai,0,Black,42646,3,18950
32,BMW,X1,0,Blue,69200,3,23950
282,Volkswagen,Tiguan Allspace,1,Pure White,6,-1,46800
359,Toyota,YARIS,0,White,152884,8,7495
38,Citroen,Dispatch Combi,0,Red,3999,0,19950
221,Kia,Sportage,0,Silver,89305,3,20500
515,SEAT,Ibiza,0,Black,12000,1,14500
607,Mercedes-Benz,E-Class,1,Obsidean Black,137295,4,24950
533,Renault,Kadjar,0,Pearl White,65422,2,23490
430,Skoda,Octavia,0,Green,172142,9,5950
346,Volkswagen,Golf,1,Grey,64526,2,22500
69,Ford,Fiesta,0,Black,66654,5,11495
504,SEAT,Alhambra,0,White,21000,1,36950
467,SEAT,Leon,0,Grey,53107,2,17950
252,Volvo,XC60,1,Blue,240999,8,12950
537,Renault,Kadjar,0,Flame Red,89374,3,17900
604,Mercedes-Benz,E-Class,1,Iridium Silver,39500,2,35950
523,Renault,Captur,0,Black,41226,1,17900
175,Hyundai,i20,0,Gold,146446,8,6950
266,Volvo,S90,1,Silver,80000,2,28500
377,Volkswagen,CC,0,Black,239786,7,11950
572,MINI,Hatch,0,White,49888,4,13950
564,Mercedes-Benz,GLC-Class,1,Silver,7000,0,58950
301,Volkswagen,Polo,0,Silver,155500,9,6950
336,Volkswagen,Golf,0,Dolphin Grey,5,-1,29600
255,Volvo,XC60,0,Grey,50942,3,27500
70,Ford,Fiesta,0,Black,114260,7,8950
494,Renault,Megane,0,Black,30614,1,16900
487,Skoda,Fabia,0,Grey,57000,3,11500
506,SEAT,Alhambra,0,Red,57935,3,25950
#471,SEAT,Leon,0,Blue,$,16,1200
18,BMW,1 Series,0,White,66817,3,18950
#150,Ford,S-Max,0,Silver,$,14,1995
31,BMW,5 Series,0,Black,122307,8,14950
259,Volvo,XC40,0,White,23999,1,37500
307,Volkswagen,T-Cross,0,Limestone Grey,13,-1,26500
134,Ford,Mondeo,1,Silver,19099,1,27500
461,Skoda,Octavia,0,White,94000,3,17500
277,Volkswagen,Tiguan,0,Tungsten Silver,29701,1,33500
64,Ford,Fiesta,1,Grey,11563,2,17500
355,Toyota,YARIS,1,Grey,35887,3,14500
380,Toyota,Corolla,0,Metal Stream,40007,2,21000
243,Mazda,Mazda6,0,Brown,82000,4,16500
223,Kia,Sportage,0,Grey,82100,4,17950
526,Renault,Clio,0,Platinum,41626,1,13900
264,Volvo,V40,0,Grey,81999,4,15950
100,Ford,Focus,0,Blue,70774,3,16950
331,Volkswagen,Passat,0,Black,161402,5,13950
483,Skoda,Fabia,0,Grey,22000,2,13500
169,Honda,HR-V,0,Polished Metal,21,0,28950
606,Mercedes-Benz,E-Class,1,Obsidean Black,82000,4,25950
551,Opel,Astra,0,Blue,159000,10,3950
226,Kia,Sportage,0,Black,110881,8,12950
528,Renault,Fluence,0,Ash Grey,144409,4,10490
27,BMW,5 Series,1,Black,69182,3,29500
186,Hyundai,Tucson,0,Black,58257,3,18950
452,Skoda,Octavia,0,Black,11000,0,25950
280,Volkswagen,Tiguan Allspace,0,Pure White,6,-1,52100
5,Audi,A4,0,Grey,59810,2,24950
488,Skoda,Fabia,0,Grey,91000,4,9500
315,Volkswagen,T-Roc,1,Atlantic Blue Metallic,8,0,40700
383,Toyota,Corolla,0,Avantgarde Bronze,92342,4,13500
#410,Toyota,C-HR,1,Pure White,$,2,24400
162,Honda,Civic,1,Lunar Silver,9,-1,31895
6,Audi,A4,1,Silver,77818,3,22950
530,Renault,Grand Scenic,0,Black,74068,3,18900
177,Hyundai,Ioniq,0,White,50,0,29950
120,Ford,Kuga,0,Grey,14463,1,31950
368,Volkswagen,Caddy,1,Grey Metallic,8,-1,20300
125,Ford,Kuga,1,White,32139,3,26500
554,Opel,Corsa,0,Blue,96249,5,9950
#199,Kia,Sportage,0,Infra Red,$,-1,31630
13,Audi,A6,0,Grey,103517,3,26500
#447,Skoda,Octavia,0,Brilliant Silver Metallic,$,0,32250
396,Toyota,YARIS,1,Platnium Bronze,86593,3,14600
426,Skoda,Octavia,0,Silver,104605,8,8995
276,Volkswagen,Tiguan,0,Reflex Silver Metallic,10400,0,34950
60,Ford,EcoSport,0,White,37349,3,16500
#553,Opel,Corsa,0,Red,$,0,16900
126,Ford,Kuga,0,Silver,50979,3,24950
225,Kia,Sportage,0,Silver,142000,6,13950
324,Volkswagen,Passat,0,Pyrite Silver,13,-1,35300
198,Kia,Niro,1,Platinum Graphite,5,-1,45500
593,Mercedes-Benz,C-Class,0,Silver,88512,7,15950
420,Skoda,Octavia,0,Silver,104000,4,13950
576,Mitsubishi,Outlander,1,Grey,233311,7,8950
594,Mercedes-Benz,C-Class,0,Black,145999,9,8750
556,Opel,Corsa,0,Blue,197622,16,1499
596,Mercedes-Benz,E-Class,1,Cavancite Blue,22500,0,52950
146,Ford,Ranger,0,Grey,55,0,43500
330,Volkswagen,Passat,0,Black,191501,3,15950
#446,Skoda,Octavia,0,Silver,$,0,33750
476,SEAT,Mii,0,Red,57935,3,9950
87,Ford,Focus,0,White,83336,2,18950
317,Volkswagen,T-Roc,0,White,44256,2,22450
328,Volkswagen,Passat,0,Pure White,11,0,35900
402,Toyota,Auris,1,Avant Garde Bronze,86273,4,16100
212,Kia,Sportage,0,Cassa White,15000,0,31950
154,Ford,Transit Connect,1,Grey,8,0,25950
274,Volkswagen,Tiguan,1,Pure White,7,0,45800
428,Skoda,Octavia,0,Brown,138000,8,6950
326,Volkswagen,Passat,0,Pure White,4001,0,36900
102,Ford,Focus,1,Silver,60827,3,16950
363,Volkswagen,Arteon,1,Maganese Grey,11,-1,56100
238,Kia,XCeed,0,Cosmo Blue,13,0,24250
407,Toyota,AYGO,0,Red Pop,4200,0,14299
522,Renault,Captur,0,Silver/black Roof,37458,1,19900
275,Volkswagen,Tiguan,0,Reflex Silver,9201,0,34950
220,Kia,Sportage,0,White,93961,3,20500
527,Renault,Clio,0,Red,28990,1,13700
417,Toyota,Corolla,0,Metal Stream,28105,2,19400
542,Nissan,Qashqai,0,Grey,41359,3,17950
349,Volkswagen,Golf,0,Grey,86857,3,17500
459,Skoda,Octavia,1,Grey,25000,3,15500
133,Ford,Mondeo,1,Grey,23465,1,29950
546,Nissan,Qashqai,0,Silver,211404,8,6950
287,Volkswagen,Touareg,1,White,94120,4,28950
348,Volkswagen,Golf,0,Black,108282,3,17950
495,Renault,Megane,1,Mars Red,50570,2,18490
303,Volkswagen,Shuttle,0,Blue,23003,1,39950
246,Mercedes-Benz,C-Class,1,Brilliant Blue,10300,1,42950
592,Mercedes-Benz,C-Class,0,Grey,99144,3,19995
230,Kia,Venga,0,Red,86349,6,11950
358,Toyota,YARIS,0,Ultra Silver,75088,5,11500
78,Ford,Focus,0,Red,40500,1,20950
544,Nissan,Qashqai,0,Grey,83000,4,15750
343,Volkswagen,Golf,1,Oryx White Metallic,16300,1,39950
52,Fiat,Ducato Passenger,0,White,10,-1,43000
95,Ford,Focus,0,Grey,37287,2,16950
103,Ford,Focus,0,Black,58374,3,16950
185,Hyundai,Tucson,0,White,62317,2,22950
400,Toyota,Auris,1,Pearl White Bitone,34003,3,18600
157,Ford,Transit Tourneo,0,White,174,0,34950
598,Mercedes-Benz,E-Class,1,Iridium Silver,17800,1,43950
318,Volkswagen,Tiguan,1,Pure White,12,-1,52500
408,Toyota,AYGO,0,Red Pop,1799,1,15500
584,Nissan,Qashqai,0,Grey,67142,3,20950
289,Volvo,S40,0,Silver,209209,14,700
11,Audi,A6,1,Red,35003,2,34950
394,Toyota,YARIS,1,Platinum Bronze,12865,2,16199
129,Ford,Kuga,0,Silver,32991,3,20950
513,SEAT,Ibiza,0,Grey,9,0,19950
465,SEAT,Ibiza,0,Black,86902,3,12495
74,Ford,Focus,0,White,58,0,25950
261,Volvo,V60,0,Silver,408999,7,6950
188,Hyundai,Tucson,0,Black,156376,4,19950
477,SEAT,Mii,0,Red,130353,6,5950
378,Volkswagen,Golf,1,Atlantic Blue,2,-1,52000
421,Skoda,Octavia,0,White,145000,4,11500
436,Skoda,Superb,0,Grey,96000,3,19950
323,Volkswagen,Passat,0,Lapiz Blue,12,-1,43400
21,BMW,3 Series,1,Portimao Blue,19151,0,46900
590,Mercedes-Benz,C-Class,1,Iridium Silver,90700,3,26950
395,Toyota,YARIS,0,Blue,26553,3,15950
66,Ford,Fiesta,0,Red,69622,2,12950
435,Skoda,Superb,1,Grey,93000,3,20950
296,Volkswagen,Polo,0,Limestone Grey Metallic,13,-1,18400
314,Volkswagen,T-Roc,0,Indium Grey Metallic,8,-1,27000
