,Brands,Models,Transmission,Colour,Mileage,Year,Prices
347,Volkswagen,Golf,0,Grey,43702,4,17500
348,Toyota,Camry,1,Silver,185000,6,13450
349,SEAT,Leon,0,Purple,68002,3,14500
350,Audi,A6,1,Black,184667,4,18950
351,Renault,Megane,0,Black,15,1,18950
352,Volkswagen,Golf,1,Blue,102995,3,19945
353,Kia,Sportage,0,Grey,116818,4,17500
354,Volkswagen,Jetta,0,Silver,123000,4,13500
355,Renault,Trafic Passenger,0,White,14,0,30250
356,Hyundai,i30,0,Brown,2,0,24900
357,Opel,Astra,0,Blue,105000,3,12500
358,Volkswagen,Tiguan,0,Pure White,26645,0,37945
359,BMW,3 Series,1,White,94949,3,23945
360,Nissan,Qashqai,0,Blade Silver,71614,2,19950
361,Nissan,Juke,0,Red,95338,4,12995
362,Volkswagen,Caddy,0,Grey,127753,2,13000
363,Mazda,CX-5,0,Grey,173999,5,14495
364,Audi,A5,1,Manhattan Grey,4,-1,52951
365,Ford,Focus,0,Chill,94200,5,11950
366,Dacia,Duster,0,White,81134,2,13950
367,Mitsubishi,Outlander,0,White/black Leather,174287,6,14950
368,Peugeot,3008,0,Grey,76699,2,25995
369,Volkswagen,Polo,0,Red,44768,2,15945
370,Volkswagen,Shuttle,1,Black,66786,2,34995
371,Skoda,Octavia,0,Brown,123422,3,14495
372,Renault,Kadjar,0,Black,39752,1,25450
373,BMW,5 Series,1,Sophisto Grey,49888,2,36995
374,BMW,5 Series,1,Blue,12849,0,47995
375,Renault,Captur,0,Grey,67081,3,14950
376,Hyundai,Tucson,1,Gold,34146,3,23495
377,Renault,Grand Scenic,0,Blue,39037,2,23500
378,Audi,A3,0,Daytona Grey,10,-1,43563
379,Mercedes-Benz,E-Class,1,Black,56523,2,34995
380,Volkswagen,Touran,0,Blue,69089,2,25500
381,Audi,A5,0,Black/black Leather,89799,3,27950
382,Nissan,X-Trail,0,White,85293,5,18500
383,Volkswagen,Passat,0,Grey,318968,9,5950
384,Volkswagen,Tiguan,0,White,159523,5,15500
385,Toyota,Auris,1,Grey,76400,2,17950
386,BMW,5 Series,1,Carbon Black,241395,6,15950
387,Volkswagen,Tiguan,0,White,147364,5,15000
388,Skoda,Superb,1,Grey,86902,3,19500
389,Ford,Focus,0,Silver,131963,3,12750
390,Jeep,Renegade,0,Black,30638,2,18950
391,Volkswagen,Tiguan,0,Silver,160594,4,19950
392,Kia,Niro,1,Grey,26795,1,26995
393,Hyundai,Tucson,0,White,95501,2,23995
394,Renault,Kadjar,0,Black,80858,4,16945
395,Mitsubishi,ASX,0,Silver,112546,3,16950
396,Volkswagen,Passat,1,Grey,165758,4,14950
397,Volkswagen,Tiguan,0,Blue,85875,4,17500
398,Skoda,Octavia,0,Blue,400301,11,4950
399,SEAT,Ibiza,0,Silver,23726,1,15495
400,Lexus,NX 300H,1,Red,74600,2,36950
401,Volkswagen,Golf,0,Blue,33990,2,20500
402,Volkswagen,Golf,0,Silver,164149,6,11950
403,Subaru,Impreza,0,White,86064,5,12995
404,Volvo,XC90,1,Grey,102351,5,38995
405,Opel,Astra,0,Dark Moon Blue,46770,2,13950
406,Mercedes-Benz,E-Class,1,Silver,160500,7,15950
407,Audi,Q7,1,Navarra Blue,5,-1,110412
408,Skoda,Octavia,1,Race Blue/black Leather,123755,4,18950
409,Nissan,Juke,0,Grey,34999,2,17495
410,Renault,Clio,0,White,39555,1,13950
411,Opel,Grandland X,0,Diamond Black,37500,1,22950
412,Volkswagen,Passat,0,Grey,90010,3,18950
413,Toyota,Corolla,0,Pure White,20602,2,18995
414,Ford,Mondeo,0,Silver,143000,5,12750
415,Mazda,Mazda6,1,Red,125749,7,10995
416,Volkswagen,CC,0,Grey/black Leather,277121,7,10950
417,Renault,Captur,0,White,35355,1,17450
418,Volkswagen,Golf SV,0,Grey,68477,5,14000
419,Volkswagen,Passat,0,Blue,152906,4,15500
420,Mercedes-Benz,A-Class,1,Black,5,-1,36800
421,Skoda,Fabia,0,Grey,69000,5,9495
422,Volkswagen,Tiguan,0,Blue,58000,2,28000
423,Mitsubishi,ASX,0,Red,34700,5,13950
424,Nissan,Qashqai,0,Black,37014,4,17350
425,Nissan,Qashqai,0,Black,159000,6,10950
426,Mercedes-Benz,C-Class,1,Blue,71012,2,28900
427,Ford,Focus,1,Deep Impact Blue,20921,3,15950
428,Skoda,Kodiaq,1,Grey,40000,1,40000
429,Volvo,XC40,1,White,15736,1,43995
430,Skoda,Superb,0,White,63149,2,22495
431,Volkswagen,Jetta,0,Silver,62897,4,16500
432,Mercedes-Benz,C-Class,1,Grey,25483,2,30900
433,Toyota,Corolla,0,Metal Stream,35205,2,16995
434,Opel,Astra,0,Red,59608,3,14500
435,Audi,A4,0,Grey,114260,4,18495
436,BMW,3 Series,0,Black,128056,8,11950
437,Hyundai,Tucson,0,White,112000,4,18995
438,Toyota,Prius,1,Pearl Red Metallic Finish,10,0,32599
439,Ford,Focus,0,Grey,64023,3,14950
440,Ford,Focus,0,Grey,104605,3,13900
441,Nissan,Micra,0,Blue,15000,1,14495
442,Renault,Captur,0,Grey,28762,1,17450
443,Toyota,Camry,1,Silver,152000,5,14950
444,Audi,A6,1,Navarra Blue,5,-1,62262
445,Renault,Captur,0,Grey,36048,1,17450
446,Audi,Q2,0,Brilliant Black,5,-1,34950
447,Mitsubishi,ASX,0,Black,27041,3,17950
448,Mercedes-Benz,C-Class,0,White,161413,3,19945
449,Renault,Megane,0,Blue,8891,1,16950
450,Renault,Kadjar,0,Grey,53181,3,18950
451,Renault,Grand Scenic,0,Grey,11500,1,25450
452,Hyundai,Kona,0,Green,35749,1,18500
#453,SEAT,Ibiza,0,Black,$,0,18495
454,Ford,C-Max,0,Black,102998,5,12495
455,Nissan,Micra,0,Blue,18617,1,13995
456,Toyota,C-HR,0,Grey,54176,2,19950
457,Audi,A6,1,Black,42048,3,29450
458,Toyota,C-HR,1,Pearl White,12501,0,29495
459,Opel,Astra,0,Grey,105265,3,13450
460,Opel,Insignia,0,Grey,98588,4,12500
461,Hyundai,i20,0,Blue,167781,9,5950
462,Volkswagen,Passat,0,Black,342947,9,5450
