Brands,Models,Transmission,Colour,Mileage,Year,Prices,
26,126,0,109,99398,3,15495,0.023560581
31,138,0,101,202000,10,4900,0.53389111
29,210,0,97,63612,3,12799,0.402100062
20,144,0,12,86902,3,17750,0.307673591
25,19,0,12,58999,2,30495,0.291021924
20,144,0,123,44137,2,19995,0.165213021
29,140,1,101,4736,0,33995,0.79497862
31,98,0,8,105405,4,14000,0.905249331
29,57,0,51,53081,2,17250,0.156040284
31,184,0,123,9981,0,35950,0.740756053
26,178,0,51,104605,2,28000,0.345022461
7,123,0,18,312204,9,4950,0.836118608
1,9,1,14,6194,0,49750,0.409209025
7,71,0,51,202772,3,12950,0.90545545
31,184,0,109,83008,2,27000,0.390340337
29,27,0,92,95690,3,16499,0.311024225
21,24,0,101,59608,3,14500,0.297100393
9,190,0,18,82982,3,18995,0.649222903
31,184,0,101,117000,3,23000,0.184092351
7,34,0,8,102998,5,12495,0.769763477
9,190,0,17,120318,4,16995,0.340330527
20,144,0,18,105516,4,16495,0.979034469
26,126,0,51,16,0,24995,0.169526579
13,176,0,51,116818,4,17500,0.09501252
31,135,1,51,6136,0,39945,0.830442258
0,142,1,50,223693,11,13750,0.230454327
31,184,0,18,154224,6,12950,0.833214942
9,216,1,109,125500,6,9995,0.645904524
26,104,1,8,41924,1,36995,0.456722179
20,144,0,51,159140,3,13725,0.637282463
20,121,0,101,18500,1,14495,0.826952916
31,81,0,8,142275,9,9500,0.806199914
31,135,0,12,25926,1,31950,1.91388E-05
24,50,0,8,21107,1,16450,0.09803682
31,184,0,8,133732,3,23000,0.925917864
31,184,0,8,129494,5,16995,0.402841763
26,126,0,123,56326,2,18500,0.30875438
31,81,1,8,32851,2,23950,0.428825322
31,184,0,51,113569,5,15950,0.05056708
13,159,0,101,63307,6,9995,0.278825626
31,98,0,109,86902,5,13450,0.639911065
31,81,0,89,85685,5,13895,0.727758048
31,48,0,51,94949,7,16750,0.285186016
31,83,0,51,23000,3,22000,0.775665704
18,41,1,51,85509,3,31895,0.227218457
26,126,0,8,177927,6,9995,0.190573892
31,185,0,8,20,0,43500,0.667448177
29,33,1,62,36707,1,26995,0.497660462
24,119,0,51,38005,1,19450,0.260132943
0,2,0,31,172195,4,18950,0.784395675
32,193,1,12,$,-1,61714,0.801031016
0,10,1,2,62500,2,57950,0.969305341
31,135,0,8,319929,8,6450,0.750178261
13,176,0,8,64499,7,13995,0.150472733
31,83,1,51,106705,3,21500,0.645764796
26,178,0,51,283237,7,8500,0.168724844
0,2,0,31,77660,5,16950,0.401361294
17,45,0,8,125000,7,12950,0.805922516
31,81,0,101,30162,1,25000,0.051356137
31,81,0,12,46044,3,18500,0.763427203
1,5,1,123,158677,4,19950,0.351263201
0,4,1,2,36773,3,26950,0.186608161
31,81,0,109,127135,3,21995,0.643991573
20,144,0,8,108999,4,15995,0.989143133
0,2,0,31,147251,4,17950,0.034209306
29,57,0,101,115000,4,13950,0.97005357
20,144,0,8,37014,4,17350,0.52287474
31,138,0,51,70000,3,14500,0.756779698
31,81,0,123,31697,2,23945,0.609360064
0,2,0,30,126813,3,21750,0.621970438
9,190,0,7,78000,4,18995,0.464603414
29,26,0,12,48509,2,18995,0.973580036
20,144,0,101,125730,5,14495,0.784351083
9,215,0,8,99542,3,13900,0.020885766
15,91,1,51,131963,3,22925,0.520938552
14,61,0,46,88499,5,25495,0.828961668
31,184,0,51,73139,3,24500,0.006542741
32,164,1,51,87185,1,31995,0.937895726
7,71,0,12,129000,4,11995,0.077352009
31,187,0,8,134347,4,17500,0.615336416
24,50,0,109,52759,2,15250,0.571086956
18,15,0,123,10,-1,38130,0.166069918
18,65,1,109,96325,4,21950,0.76945855
31,171,0,8,22453,1,35845,0.546656128
29,57,0,96,20602,2,18995,0.103528249
29,33,1,63,48700,1,27999,0.383982882
0,8,1,26,5,-1,51205,0.712294918
19,130,0,51,83684,3,24900,0.849456002
29,26,0,123,190500,4,11750,0.134024426
29,21,1,109,148000,3,13950,0.199208292
31,184,0,8,31500,0,42000,0.177321321
31,29,0,126,169,15,4250,0.897103228
31,81,1,123,159140,3,19925,0.72672346
9,215,0,8,68810,2,17750,0.38986626
0,1,0,15,93607,3,18500,0.739736144
29,57,0,74,55510,2,19995,0.243228621
0,1,0,30,63122,3,19995,0.682237762
18,77,1,51,63834,2,39900,0.451576558
7,123,0,51,138103,6,10450,0.161733395
32,205,1,107,17702,0,75950,0.152148982
29,49,1,109,127000,5,14950,0.260004797
31,81,0,109,164149,6,11950,0.452039531
18,32,1,25,32290,2,34950,0.981876213
30,95,1,8,73746,4,13950,0.503899814
0,2,1,26,5,-1,48537,0.831391391
0,4,1,2,28623,2,36250,0.132456623
18,65,1,8,28179,2,34945,0.782854196
0,7,0,17,5,-1,34990,0.280546797
21,24,0,123,11828,2,17500,0.668852742
26,126,0,101,122999,5,17495,0.59845518
20,121,0,12,15000,1,14495,0.133380996
26,126,0,51,141618,4,18995,0.78578093
20,144,0,8,46617,3,16995,0.982268102
1,9,1,8,113456,4,21950,0.550495188
20,144,0,51,69200,3,18350,0.175602906
18,65,1,51,36499,2,35995,0.514459904
24,119,0,12,17,1,17950,0.2913421
22,1,0,109,43451,5,7750,0.903001736
9,216,0,101,96000,4,16995,0.948237155
16,87,0,123,136791,4,12725,0.764849873
4,64,0,123,81134,2,13950,0.594605224
29,210,1,74,47008,2,16995,0.839455832
20,144,0,17,68345,3,17950,0.268347837
0,9,1,2,129436,9,15950,0.614747874
0,6,1,29,114260,5,29950,0.687408176
24,50,0,51,28262,1,17450,0.504303838
25,19,1,51,19,0,44995,0.843907913
20,144,0,51,34505,2,21495,0.299175476
20,144,1,123,67000,2,22995,0.088212
29,57,1,119,28232,1,23845,0.869772757
7,123,0,8,197944,4,13950,0.316120465
31,81,0,51,64765,3,17950,0.711470041
24,101,1,51,67909,3,19250,0.072171519
